License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Physical Therapist License	https://www.ilw.com/seminars/june2005_citation3a.pdf	Could Not Determine	"PHYSICAL THERAPIST LICENSING REQUIREMENTS BY STATE" (no further text provided)	The provided source text contains only a title and no details about educational prerequisites, so the minimum degree requirement cannot be ascertained.	0.2	772
Phytosanitary Certificate License	https://info.csc.state.nj.us/jobspec/02473.htm	No Degree Found	“Appointees will be required to qualify for a Federal License to issue Phytosanitary Certificates during the working test period.”  The passage lists a separate job education requirement (“Graduation from an accredited college with a Bachelor's degree…”) but does not connect any degree to qualifying for the Phytosanitary Certificate license itself.	The only statement about the Phytosanitary Certificate license merely says appointees must qualify for it; no educational level is specified for that qualification. Therefore, based solely on the provided text, no college degree requirement can be attributed to the license.	0.86	0
Pilot Licence	https://govt.westlaw.com/nycrr/Document/I50f75057cd1711dda432a117e6e0f345	Explicit Bachelor's	"(vi) holds or will hold a Bachelor's Degree from an accredited college or university by June 30th of the year the application is filed;"	The rule explicitly states that an applicant must already possess (or be on track to possess) a Bachelor's degree to enter the apprenticeship that precedes licensure, making a bachelor’s degree an unequivocal prerequisite for initial licensing.	0.95	1,198.00
Speech Language Pathology License	https://www.njconsumeraffairs.gov/aud/Applications/SLP-Supervision-Plan.pdf	Explicit Graduate/Professional	"C. New Jersey licensure requirements completed to date or expected completion date: Master’s Degree Month/Year"	The form lists a Master's degree as part of the licensure requirements, directly indicating that a graduate-level degree is required for initial licensure.	0.9	1,105.00
Pilot Licence	https://law.justia.com/codes/new-jersey/2009/title-12/12-8/12-8-12/	No Degree Found	"Only a person who has successfully served an apprenticeship ... and passed an examination ... shall be licensed as a deputy maritime pilot or maritime pilot of the State of New Jersey."  No reference to any associate's, bachelor's, graduate, or professional degree appears in the requirements.	The statute specifies apprenticeship completion and an examination as the sole prerequisites for licensure; it never references any college-level degree, indicating none is required.	0.9	1,115.00
Advanced Nurse Practitioner License	https://www.nj.gov/humanservices/providers/rulefees/regs/rulesfiles/NJAC%2010_58A%20ADVANCED%20PRACTICE%20NURSE%20SERVICES.PDF	No Degree Found	"Advanced practice nurse (APN) means a person currently licensed to practice as a registered professional nurse who is certified by the New Jersey State Board of Nursing in accordance with N.J.A.C. 13:37-7."; "In order to be approved as a Medicaid/NJ FamilyCare fee-for-service participating provider, the APN shall be a registered professional nurse and have a current certification as an APN, pursuant to N.J.A.C. 13:37-7."	The regulations describe licensing and certification requirements (must be a registered nurse and hold APN certification) but never specify that an applicant must hold any particular college degree; thus no degree requirement is stated in the provided text.	0.85	1,102.00
Pilot Licence	https://law.justia.com/codes/new-jersey/2009/title-12/12-8/12-8-11/	No Degree Found	“Apprentices shall serve at least four years… They shall be examined by the commission… and thereafter licensed as a deputy maritime pilot.” No mention is made of any college, associate, bachelor’s, or graduate degree requirement.	The statute specifies apprenticeship duration and an examination as prerequisites for licensure, with no reference to any formal college degree. Therefore, no degree requirement is indicated.	0.87	1,029.00
Air Conditioning and Refrigeration Technician Certification	https://www.nj.gov/education/certification/certsandtitles/	No Degree Found	“Applicants must use coursework or a degree in the occupational area to meet the requirements…” and “Applicants may use a degree … coursework, employment experience, self-employment experience, or a combination of education and employment experience to meet the requirements for the following CTE endorsements … Heating, Ventilation, Air Conditioning and Refrigeration (2517).”	The text offers multiple ways to qualify (coursework, experience, self-employment, etc.) and states that a degree is only one optional pathway, never mandating an associate’s, bachelor’s, or graduate degree for this certification.	0.87	1,102.00
Pilot Licence	https://atpflightschool.com/become-a-pilot/flight-training/pilot-training-cost.html	No Degree Found	“Do I need a college degree to be a pilot? No, you don't need a college degree to become a pilot.”	The source explicitly says that a college degree is not required for becoming a pilot, and no other passages impose any associate, bachelor’s, or graduate degree requirement for initial licensure.	0.9	1,003.00
Pilot Licence	https://nj.gov/transportation/maritimepilot/pdf/annreport12.pdf	No Degree Found	No educational degree requirement for obtaining a New Jersey pilot licence is stated anywhere in the provided text; the only degree references appear in personal biographies, not as mandated prerequisites.	The source outlines commission functions and individual pilot backgrounds but never specifies that any college degree (associate, bachelor’s, or higher) is necessary for initial pilot licensure.	0.85	928
Pilot Licence	https://atpflightschool.com/faqs/	No Degree Found	"Do I need a college degree to be a pilot? No, you don't need a college degree to become a pilot."	The text directly states that a college degree is not required to become a pilot and offers no alternative degree-based prerequisites, indicating no degree is necessary for licensure.	0.9	922
Pilot Licence	https://atpflightschool.com/become-a-pilot/airline-career/commercial-pilot-salary.html	No Degree Found	"Do I need a college degree to be a pilot? No, you don't need a college degree to become a pilot."	The only explicit statement about education says a college degree is not required, and no other part of the text specifies an associate, bachelor’s, or higher degree as a prerequisite for obtaining a pilot license.	0.9	919
Pilot Licence	https://www.onetonline.org/link/summary/53-5021.00	No Degree Found	The SourceText lists job information and notes that workers are "Required to hold license issued by U.S. Coast Guard," but nowhere specifies any Associate’s, Bachelor’s, or Graduate/Professional degree requirement for initial licensure.	The text details tasks, skills, and general education statistics but contains no explicit or implicit requirement for a college degree to obtain the pilot license; therefore, no degree requirement is found.	0.9	865
Pilot Licence	https://centuryair.com/flight-training/frequently-asked-questions/	No Degree Found	“Contrary to popular belief, it is not necessary to go to an aviation university to become a career pilot.”	The provided text explicitly states that attending an aviation university (or obtaining any specific college degree) is not necessary to become a pilot, and no other degree requirement is mentioned.	0.85	853
Pilot Licence	https://rhombus-cod-mjdl.squarespace.com/s/2018-annual-report-draft.pdf	No Degree Found	The SourceText describes licensure through apprenticeships and examinations (e.g., “After serving a five-year apprenticeship he sat for his state licensing exam…”, “The Commission… selects qualified Maritime Pilot apprentices and Docking Pilot apprentices; … Grants state pilot licenses”) but nowhere specifies that a college (associate’s, bachelor’s, or graduate) degree is required for initial licensure.	All references to becoming a pilot involve apprenticeship periods and state exams; the document never states any mandate for an associate’s, bachelor’s, or higher degree, so the minimum educational requirement cannot be a college degree based on the provided text.	0.88	791
Nursing Home Administrator License	https://www.nj.gov/health/healthfacilities/certification-licensing/nursing-home-adm/	No Degree Found	The listed application materials include “an official college transcript,” but the text never states that a bachelor’s, associate’s, or graduate degree is required. All other requirements refer to fees, forms, an Administrative Intern Program, a 100-hour course, and ethics CE, with no mention of any specific degree.	The source outlines multiple steps and documents but never explicitly or implicitly sets a minimum academic degree; therefore, under the hierarchy, the correct classification is that no degree requirement was found.	0.83	1,102.00
Plant Engineer License	https://www.njconsumeraffairs.gov/Statutes/professional-engineers-land-surveyors-law.pdf	Explicit Bachelor's	"As a professional engineer: a. Graduation from a board approved curriculum in engineering of four years or more; ... and successfully passing all parts of the written examination" (N.J.S.A. 45:8-35).	Licensure (which would cover a Plant Engineer practicing professional engineering) expressly demands completion of a four-year engineering curriculum, equivalent to a bachelor’s degree, before experience and examinations; therefore a bachelor’s degree level education is explicitly required.	0.9	999
Plant Engineer License	https://www.sru.edu/documents/academics/online-learning/Engineer%20Licensing%20Requirements%20by%20State.pdf	Could Not Determine	The source text lists degree requirements for 'professional engineer' licensure (e.g., “Graduation from a board approved curriculum in engineering of four years or more”), but it never references a 'Plant Engineer License' or its specific educational prerequisites.	Because the text provides no information about a distinct 'Plant Engineer License', I cannot reliably determine whether that particular license requires a college degree.	0.3	944
Psychology Licence	https://www.nj.gov/education/certification/edsrvs/endorsementsedsrvs/3100S.shtml	Explicit Graduate/Professional	"Hold a master’s or higher degree from an accredited college or university." ; "Complete a New Jersey Department of Education (NJDOE)-approved graduate program in school psychology."	For the School Psychologist standard certificate—the primary license described—all eligibility options explicitly require completion of a graduate-level program or possession of at least a master’s degree, so the minimum degree is clearly at the graduate/professional level.	0.9	1,102.00
Notary Public	https://www.middlesexcountynj.gov/government/departments/department-of-community-services/office-of-county-clerk/notary-services/notary-frequently-asked-questions	No Degree Found	Eligibility: "A resident who is 18 years of age or older." Training: "Non-attorney applicants for initial notary public commissions must provide proof that they have: Completed a six-hour course of study approved by the State Treasurer and passed an examination." No mention of any associate’s, bachelor’s, or graduate degree requirement.	The text lists age, residency, a six-hour course, and an exam as the only educational/training requirements; it never references any college degree. Therefore, the license does not require a degree based on the provided source.	0.9	1,101.00
Professional Engineer	https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-13-40-2-2	Explicit Bachelor's	“Shall demonstrate graduation from a program with a bachelor's degree in engineering … or graduation from a program with a bachelor's degree in engineering technology …”	The rule plainly mandates possession of a bachelor’s degree in engineering or engineering technology from an ABET-accredited program for initial licensure, leaving no alternative pathway that eliminates the degree requirement.	0.9	1,205.00
Professional Engineer	https://law.justia.com/codes/new-jersey/title-45/section-45-8-35/	Implicit Bachelor's	"Graduation from a board approved curriculum in engineering of four years or more;"  and  "Graduation from a board approved curriculum in engineering technology of four years or more;"	All listed pathways to become a licensed Professional Engineer require completion of a board-approved 4-year engineering or engineering-technology curriculum. A 4-year program is generally understood to be at the bachelor’s level, even though the statute does not use the word "bachelor’s," making the requirement an implicit bachelor’s degree.	0.85	1,195.00
Professional Planner	https://www.morriscountynj.gov/Jobs/Planner-Trainee-Office-of-Planning-and-Preservation?oc_lang=it	Could Not Determine	The text only states: "possession of a current and valid license as a professional planner in New Jersey, issued by the New Jersey Board of Professional Planners, may substitute for the education requirement" but provides no description of what education is required to obtain that license.	The source text is a job posting that references the existence of the Professional Planner license but does not specify any educational prerequisites for obtaining that license, so a definitive determination cannot be made.	0.3	1,100.00
Professional Planner	https://www.njconsumeraffairs.gov/plan/Pages/FAQ.aspx	No Degree Found	“An upgrade form demonstrating the required work experience; or Transcripts verifying that the planner-in-training has completed the required educational experience.” / “An applicant for licensure as a professional planner shall obtain a passing grade on both the national and State parts of the professional planner's examination.”  No statement says a specific college degree is mandatory for the Professional Planner license, and an experience-only path is expressly allowed.	The text lists exam and upgrade/experience pathways but never states that a bachelor’s, associate’s, or graduate degree is a required condition for obtaining the Professional Planner license; experience alone can satisfy the qualification, so no degree requirement is established.	0.82	1,099.00
Certified Nurse Aide	https://nj.gov/health/healthfacilities/documents/rfpappendixes/appendix_b.pdf	No Degree Found	§ 8:39-43.2(a)1: "Successfully complete a nurse aide in long-term care facilities training program that has been approved by the Department;"  § 8:39-43.10(b): "An approved training program for nurse aides shall consist of 90 hours of training..."  (No mention anywhere of Associate's, Bachelor's, or higher degree requirements.)	The regulations specify completion of a short state-approved training program and passing competency exams but contain no reference to any college degree. Therefore, initial certification does not require an Associate’s, Bachelor’s, or Graduate/Professional degree.	0.9	1,098.00
Pilot Licence	https://www.nj.gov/transportation/maritimepilot/pdf/Docking_PIlot_Apprentice_Application.doc	No Degree Found	The application instructions list required items such as Coast Guard licenses, physical forms, drug screening, and "written documentation of at least ten years’ experience in the maritime industry" but nowhere mention any Associate’s, Bachelor’s, or higher degree requirement.	The official application sets experience and credential prerequisites but does not specify or imply any college degree; therefore initial licensure does not require a degree based on the provided text.	0.9	1,096.00
Fire Official Certification	https://nj.gov/dca/divisions/dfs/forms/bfds/2021%20Ed%20Forms/fifo_application_2021.pdf	No Degree Found	"The educational program requirements to obtain certification as a Fire Inspector or Fire Official are specified pursuant to N.J.A.C. 5:71-4.9 ... and must be the adopted programs approved through the Office of Training and Certification."  "To obtain a Fire Official certification, in addition to meeting the credentialing requirements of Fire Inspector, the State adopted Fire Official program of instruction must be completed."	The text lists only completion of specific state-approved instructional programs and passing exams as prerequisites; it never requires or implies any college degree level.	0.88	1,095.00
Professional Engineer	https://www.greenbaumlaw.com/media/publication/473_Construction_Laws_and_Customs_New_Jersey-_28w-001-3178_29.pdf	Explicit Bachelor's	"An applicant for licensure as an engineer must fulfill one of the following sets of requirements: Graduate from a board-approved curriculum in engineering of four years or more..." and "Graduate from a board-approved curriculum in engineering technology of four years or more..." (N.J.S.A. 45:8-35(1)).	The statute defines initial licensure pathways that all begin with graduation from a board-approved 4-year engineering or engineering-technology program, which corresponds to a bachelor’s degree level.	0.9	1,101.00
Instructional Certificate	https://www.nj.gov/education/certification/edsrvs/endorsementsedsrvs/3462CE.shtml	Explicit Bachelor's	“A bachelor’s degree in speech-language pathology/communication disorders from an accredited college or university.”; “A bachelor’s degree in a major other than speech-language pathology/communication disorders from an accredited college or university.”	Both option pathways for the Speech Language Specialist endorsement explicitly state that applicants must already hold a bachelor’s degree; although enrollment in a master’s program is also required, completion of that graduate degree is not, making the bachelor’s the minimum explicit degree requirement.	0.9	1,095.00
Professional Engineer	https://pdh-pro.com/pe-resources/continuing-education-requirements-for-new-jersey-engineers/	Explicit Bachelor's	"First, the candidate must hold a four-year degree from an engineering program that is accredited."	The source explicitly states that an applicant must possess a four-year accredited engineering degree, which corresponds to a bachelor’s level requirement.	0.9	1,051.00
Professional Engineer	https://njspe.org/2019/11/21/qualifications-you-must-meet-to-become-a-professional-engineer/	Explicit Bachelor's	"A four-year bachelor’s degree in an EAC/ABET-accredited engineering program must be obtained."	The requirement is explicitly stated as a four-year bachelor's degree in an accredited engineering program, making the minimum educational qualification clearly a bachelor's degree.	0.95	1,048.00
Professional Engineer	https://www.harborcompliance.com/structural-engineer-nj	Explicit Bachelor's	"EAC/ABET-accredited program degree" … "TAC/ABET-accredited program degree" are listed in the Education column as prerequisites for individual licensure.	Requiring a degree from an ABET-accredited engineering (EAC) or engineering technology (TAC/ETAC) program signifies the need for the standard 4-year bachelor’s degree those programs confer, meeting the definition of an explicit bachelor’s requirement.	0.8	1,042.00
Professional Engineer	https://soe.rutgers.edu/student-experience/career-development/professional-licensing	Explicit Bachelor's	“To become licensed, engineers must complete a four-year college degree, work under a Professional Engineer for at least four years, pass two intensive competency exams and earn a license from their state’s licensure board.”	The source explicitly states that obtaining a Professional Engineer license requires completion of a four-year college degree, which corresponds to a bachelor’s level education.	0.86	1,028.00
Professional Engineer	https://njspe.org/2021/08/10/steps-to-receiving-a-pe-license-without-an-engineering-degree/	Explicit Bachelor's	"If you received a bachelor’s degree in a non-engineering field, it may still be possible for you receive your PE license!"; "the next step for receiving a PE license would be to earn a four-year degree in an ABET-accredited engineering program."	The text repeatedly references the need for a bachelor’s (four-year) degree—either an ABET-accredited engineering degree or a non-engineering bachelor’s that is evaluated to meet engineering standards—indicating an explicit bachelor’s-level education requirement for initial licensure.	0.7	997
Professional Engineer	https://ww2.georgiasouthern.edu/academics/adult-learners/home/state-authorizations/licensure/new-jersey/	Explicit Bachelor's	"The minimum requirements for a PE license include completion of a BS degree in Engineering from an EAC-ABET accredited engineering program;"	The text explicitly states that obtaining a Professional Engineer license in New Jersey requires completion of a BS (bachelor's) degree in engineering, clearly satisfying the 'Explicit Bachelor's' criterion.	0.92	997
Professional Engineer	https://pdh-pro.com/new-jersey-professional-engineers-requirements/	Explicit Bachelor's	“Step 1: Earn a 4-year degree from an accredited institute of higher learning.”	The source explicitly lists earning a 4-year degree as the first step toward licensure, which squarely meets the definition of an explicit bachelor’s requirement.	0.9	987
Professional Engineer	https://www.utoledo.edu/offices/internalaudit/institutional-compliance/state-authorization/pld-stateengineerandsurveyorboards.html	Explicit Bachelor's	"Completion of a UToledo-accredited Engineering Science degree meets New Jersey educational requirements to apply for a PE license." ; "The BS in Computer Science & Engineering and the BS in Computer Science & Engineering Technology degree programs are ... accredited by ... ABET"	The text states that meeting New Jersey’s educational requirement for PE licensure is achieved by completing an ABET-accredited Engineering Science (or Technology) degree, and the document identifies these as BS (Bachelor of Science) programs, explicitly indicating a bachelor’s-level education is required.	0.82	979
Professional Engineer	https://ncees.org/exams/pe-exam/	No Degree Found	In the New Jersey section, the text only states that applicants register directly with NCEES and later apply to the Board for licensure; no associate, bachelor’s, or graduate degree requirement is mentioned anywhere in the provided New Jersey PE licensure details.	The source text outlines exam registration and application procedures but never specifies that a PE applicant must hold a bachelor’s (or any) degree, so no college‐degree requirement can be inferred from the material given.	0.83	979
Professional Engineer	https://engineersealstamps.com/blogs/info/new-jersey-pe-seal-requirements-unraveled-your-ultimate-guide	Implicit Bachelor's	“Individuals must graduate from an accredited engineering program or have an equivalent education.”	The text requires graduation from an accredited engineering program—wording that normally refers to a four-year bachelor’s engineering degree—but it never explicitly says “bachelor’s,” so the requirement is inferred rather than stated outright.	0.72	957
Professional Engineer	https://info.csc.nj.gov/jobspec/02794@.htm	No Degree Found	The text only states "Possession of a Professional Engineers (PE) License issued by the New Jersey State Board of Professional Engineers and Land Surveyors may be substituted for the above education requirement." It provides no information on what education is needed to obtain the PE license itself.	The source text does not describe any educational prerequisites for obtaining a Professional Engineer license; it merely references possession of the license without outlining degree requirements for licensure.	0.85	952
Professional Engineer	https://ncees.org/exams/fe-exam/	No Degree Found	New Jersey section states: "The board does not require PE examinees to submit an application or an additional fee prior to registering with NCEES and scheduling a PE computer-based exam. Visit the board’s website for licensure application instructions once you have passed the exam." – no educational degree requirement is mentioned anywhere in the New Jersey-specific text.	The New Jersey licensure excerpt outlines exam and application procedures but never references any Associate’s, Bachelor’s, or Graduate degree. Without explicit or implicit degree language, the minimum degree requirement cannot be inferred from this source.	0.86	917
Professional Engineer	https://www.studyforfe.com/blog/nj-pe-requirements/	Explicit Bachelor's	“To become a Professional Engineer in New Jersey, candidates must possess a bachelor’s degree from an accredited engineering program.”	The source explicitly requires a bachelor’s degree for initial licensure, meeting the criteria for an “Explicit Bachelor's” requirement.	0.9	915
Professional Engineer	https://dot.nj.gov/transportation/careers/pdf/jobpostings/Job_Post_25-00107.pdf	No Degree Found	"Work experience within many of the units will qualify as approved Design Experience for the issuance of a New Jersey PE License."  "Possession of a valid Professional Engineer's License issued by the New Jersey State Board of Professional Engineers and Land Surveyors may be substituted for the Bachelor's degree in Engineering."	The text mentions the Professional Engineer license but gives no explicit or implicit educational requirement for obtaining that license; therefore no college degree requirement can be identified from the provided source.	0.85	892
Professional Engineer	https://info.csc.nj.gov/jobspec/02795@.htm	No Degree Found	The text only states that applicants "may substitute possession of a Professional Engineer's License" for the bachelor's-degree requirement of the job; it does not describe any educational prerequisites for obtaining the Professional Engineer license itself.	The provided source discusses job requirements and mentions the PE license as an alternative to a bachelor’s degree but never specifies what education, if any, is required to obtain that license; therefore no degree requirement can be inferred for licensure from this text.	0.85	891
Professional Engineer	https://info.csc.state.nj.us/jobspec/03314.htm	No Degree Found	"Possession of a Professional Engineers (PE) License ... may be substituted for the above education requirement." The text lists a Bachelor's degree for the job title, but provides no educational prerequisite for obtaining the PE license itself.	The SourceText discusses education needed for a Senior Engineer job and merely references an existing PE license as an alternative; it does not specify any degree requirement for earning the Professional Engineer license, so no degree requirement can be identified from the provided text.	0.85	889
Professional Engineer	https://info.csc.nj.gov/jobspec/03314.htm	No Degree Found	The text lists a Bachelor’s degree as a job requirement but only says: "Possession of a Professional Engineers (PE) License ... may be substituted for the above education requirement." It provides no educational prerequisites for obtaining the PE license itself.	The source material discusses job qualifications and notes that having a PE license can replace the job’s degree requirement, but it never states what degree (if any) is required to earn the Professional Engineer license, so no degree requirement for initial licensure can be identified.	0.75	835
Professional Engineer	https://dep.nj.gov/wp-content/uploads/rules/rules/njac7_26i.pdf	No Degree Found	"An LSRP shall not perform services that constitute the practice of professional engineering, unless the LSRP is a professional engineer licensed in the State of New Jersey." (7:26I-6.4) – the only passage mentioning Professional Engineer licensure contains no educational prerequisites.	The excerpt addresses Licensed Site Remediation Professionals; Professional Engineer licensure is only referenced in passing without specifying any degree requirement, so no collegiate degree requirement can be determined from this text.	0.9	828
Professional Engineer	https://engineerboards.com/threads/pe-requirements-in-new-jersey.3652/reply?quote=6582830	No Degree Found	The provided text only discusses length of experience ("four years" or "three years, if have an MS degree") and supervision by a PE; it contains no statement that any Associate’s, Bachelor’s, or Graduate degree is required for initial licensure.	The excerpt focuses solely on experience under a PE and briefly notes an optional reduction if an applicant holds an MS. It never states that any college degree—associate, bachelor’s, or graduate—is mandatory, so no degree requirement can be inferred from this text.	0.87	790
Professional Engineer	https://engineerboards.com/threads/pe-requirements-in-new-jersey.3652/reply?quote=6595489	No Degree Found	The provided text only discusses reference requirements (e.g., “Five references are required…”) and the applicant’s personal situation; it contains no official statement that a specific degree (associate’s, bachelor’s, master’s, etc.) is required for initial licensure.	The excerpt is an informal forum conversation about reference letters for the NJ PE application and does not set out any official educational prerequisites; therefore, no degree requirement can be identified from this source.	0.86	787
Professional Engineer	https://engineerboards.com/threads/pe-requirements-in-new-jersey.3652/	No Degree Found	"...four years (or three years, if have an MS degree)." / "Remember that a masters counts as 1 year of experience on your application."  No sentence states that any associate’s, bachelor’s, or graduate degree is mandatory—only that a master’s can reduce the experience time.	The discussion lists only experience and supervision requirements and notes a master’s degree merely shortens the experience period, implying a degree is optional rather than required; no explicit or implicit mandate for any college degree appears in the text.	0.85	785
Professional Engineer	https://www.njconsumeraffairs.gov/arch/Pages/faq.aspx	No Degree Found	The source text outlines educational requirements for architects but does not list any educational prerequisites for initial licensure as a Professional Engineer. No associate, bachelor’s, or graduate degree requirement for becoming a Professional Engineer is mentioned.	Because the text never states what education is needed to obtain a Professional Engineer license, there is insufficient information to identify any degree requirement for that license.	0.85	775
Professional Engineer	https://engineerboards.com/threads/pe-requirements-in-new-jersey.3652/reply?quote=6595843	No Degree Found	The text only notes that “a masters counts as 1 year of experience on your application” but never states that any college degree (associate’s, bachelor’s, or graduate) is required for initial licensure.	The excerpt is an informal forum discussion; it references how a master’s degree may be credited toward experience but does not set any mandatory educational prerequisite. Therefore, based solely on this text, no degree requirement can be identified.	0.86	767
Professional Librarian	https://www.njstatelib.org/services_for_libraries/resources/library_law/librarian-certification-regulation/	Explicit Graduate/Professional	"A candidate for certification shall hold a master’s degree in an approved professional librarian education preparation program..." and "Under no circumstances may the degree requirements for certification be waived; Alternative education and/or experience may not be substituted for degree requirements."	The regulation clearly states that applicants must possess a master's degree from an accredited librarian education program, explicitly establishing a graduate-level degree as the minimum educational requirement for initial licensure.	0.96	1,251.00
Licensed Practical Nurse	https://mycareer.nj.gov/training/3261	No Degree Found	Prerequisites: HS DIPLOMA (UNITED STATES) GED, OR EVAL OF FOREIGN HS DIPLOMA	The only stated educational prerequisite for entering the practical nursing program (which leads to licensure) is a high school diploma or equivalent; no associate, bachelor’s, or higher degree is mentioned or implied.	0.9	1,094.00
Emergency Medical Technician	https://mycareer.nj.gov/training/50361	No Degree Found	"Prerequisites: Current New Jersey EMT-Basic certification, high school diploma or GED, American Heart Association CPR certification…" — the only educational requirement mentioned is a high school diploma or GED; no associate’s, bachelor’s, or graduate degree is referenced anywhere in the text.	The source lists several prerequisites for EMT/Paramedic training but the highest educational level required is a high school diploma or GED, indicating that no college degree is necessary for initial licensure.	0.88	1,093.00
Professional Librarian	https://info.csc.state.nj.us/jobannouncements/DefaultJobAnnouncement/ViewCompetitiveJobDescription?guid=42252&md=1	Explicit Graduate/Professional	"A Master's degree in Library or Information Science in a library program accredited by the American Library Association or from a New Jersey Master's program in Library Science that has been deemed acceptable by Thomas Edison State College."	The source text clearly states that a Master's degree in Library or Information Science is required, which is an explicit graduate-level educational prerequisite.	0.92	1,206.00
Professional Librarian	https://info.csc.state.nj.us/jobspec/03406.htm	Explicit Graduate/Professional	EDUCATION: A Master's degree in Library or Information Sciences in a library program accredited by the American Library Association or from a New Jersey College Master's program in Library Science that has been deemed acceptable by Thomas Edison State University.	The requirement explicitly states that a Master's degree in Library or Information Sciences is needed, which is a graduate-level credential, therefore the license demands a graduate/professional degree.	0.87	1,205.00
Professional Librarian	https://info.csc.state.nj.us/jobannouncements/DefaultJobAnnouncement/ViewCompetitiveJobDescription?guid=41840&md=1	Explicit Graduate/Professional	EDUCATION: A Master's degree in Library or Information Science in a library program accredited by the American Library Association or from a New Jersey College Master's Program in Library Science that has been deemed acceptable by Thomas Edison State University.	The source text expressly states that a Master’s degree in Library or Information Science is required; this is a graduate-level credential, so the minimum degree requirement for the Professional Librarian credential is explicitly a graduate/professional degree.	0.9	1,175.00
Professional Librarian	https://www.njstatelib.org/wp-content/uploads/2013/08/LIBRARIAN-2-CSC-Job-Description.pdf	Explicit Graduate/Professional	EDUCATION: A Master's degree in Library or Information Sciences in a library program accredited by the American Library Association or from a New Jersey College Master's program in Library Science...	The requirements section clearly states that a Master's degree in Library or Information Sciences is mandatory, which is an explicit graduate-level prerequisite for becoming a Professional Librarian.	0.93	1,164.00
Operating Engineers License	https://nj.gov/dep/exams/ust.htm	No Degree Found	"9. Is a college degree required for certification? No."	The source explicitly states that a college degree is not required; all listed prerequisites involve experience, manufacturer training, safety courses, or external certifications, with no mention of associate, bachelor’s, or graduate degrees.	0.9	1,093.00
Professional Librarian	https://campussuite-storage.s3.amazonaws.com/prod/1280306/3a32f069-629b-11e7-99ef-124f7febbf4a/1729441/4d2b7b20-4422-11e8-a20d-126fa2392d98/file/NJStateLibraryCertificateApplication.pdf	Explicit Graduate/Professional	"official transcript from a master's level program in library and information studies accredited by the American Library Association including the date of degree conferment"; "provide to Thomas Edison State University with an official transcript from a graduate library school accredited by the American Library Association"	The text unambiguously states that applicants must hold a master's-level (graduate) library and information studies degree from an ALA-accredited program in order to receive the Professional Librarian certificate.	0.93	1,153.00
Professional Librarian	https://law.justia.com/codes/new-jersey/title-45/section-45-8a-3/	No Degree Found	"shall hold a professional librarian's certificate issued by the State Board of Examiners"; the statute makes no explicit mention of needing an Associate's, Bachelor's, or Graduate degree to obtain that certificate.	The provided text only mandates a certificate and refers generally to knowledge from accredited library schools, but it never states that a specific college degree is required for initial licensure.	0.85	1,144.00
Professional Librarian	https://comminfo.rutgers.edu/graduate-programs/master-information/concentrations/school-library-certification-process/certification-timeline	Explicit Graduate/Professional	"In general, the certification process in New Jersey for someone who completes an MI program typically includes the following steps:"; "Note that if you have obtained a CE because you have an MLS in a non-school area"	The certification pathway discussed is predicated on completion of an MI or MLS—explicitly named master’s‐level degrees—showing that earning a graduate degree is expected for initial licensure.	0.7	1,132.00
Instructional Certificate	https://www.nj.gov/education/certification/CEprogramproviders.shtml	Explicit Bachelor's	"Alternate Route to Teaching — K–12 teacher certification program for candidates who already have their bachelor’s degree"	The source explicitly states that a K–12 teacher certification (Instructional Certificate) program is intended for candidates who already possess a bachelor’s degree, indicating that at least a bachelor’s is required for initial licensure.	0.68	1,092.00
Professional Librarian	https://www.njstatelib.org/services_for_libraries/resources/library_law/page08-2/	Explicit Graduate/Professional	"...issue to any person a professional librarian’s certificate... if he shall be a graduate from a library school accredited by the State Board of Education..."	The statute requires applicants to be "a graduate from a library school" accredited by the State Board of Education. A ‘library school’ is a specialized professional school (parallel to references such as an accredited law school) that awards a post-baccalaureate library science degree, thus indicating a graduate/professional-level credential.	0.75	1,127.00
Professional Librarian	https://www.tesu.edu/about/leadership-departments/registrar/librarian-certificate.php	Explicit Graduate/Professional	"you must provide an official transcript from a master's level program in library and information studies accredited by the American Library Association"; "you must provide an official transcript from a master's level program in library and information studies including the date of degree conferment."	The source explicitly states that applicants must hold a master’s-level degree in library and information studies, which is a graduate/professional degree, with no alternative path that replaces this requirement.	0.93	1,069.00
Mammography Certification	https://mycareer.nj.gov/training/51488	No Degree Found	Prerequisites: 18 years of age or older. Current NJ Diagnostic Radiologic Technologist License Registered Radiologic Technologist (ARRT).	The only listed prerequisites are age and holding an existing radiologic technologist license/registration; the text contains no explicit or implicit mention of any associate’s, bachelor’s, or graduate degree requirement.	0.9	1,092.00
Professional Librarian	https://www.librariancertification.com/librarian-certification-guides/new-jersey-public-librarian-certification/	Explicit Graduate/Professional	"A transcript is also required as part of the application, showing the master’s degree in library and information studies from an ALA accredited program with the date of degree issuance."; "The only potential alternative to the master’s degree in library and information studies is an equivalent degree from a foreign institution."	The licensing text unequivocally requires applicants to hold and document a master’s (MLIS) degree—inherently a graduate credential—with no allowance for lesser degrees or experience substitution, satisfying the criteria for an Explicit Graduate/Professional requirement.	0.9	1,051.00
